"","id","chart_date","target_rank","actual_rank","title","artist","peak_rank","weeks_on_chart","genre"
"1",3,"1961-07-03",56,57,"I Don't Mind","James Brown",47,8,"R&B/Soul"
"2",4,"1971-08-07",32,31,"You've Got A Friend","Roberta Flack,Donny Hathaway",29,12,"Rock"
"3",6,"1980-08-02",15,16,"The Rose","Bette Midler",3,25,"Pop"
"4",10,"1984-03-24",49,51,"An Innocent Man","Billy Joel",10,18,"Rock"
"5",12,"1980-11-15",65,63,"Lookin' For Love","Johnny Lee",5,21,"Country"
"6",15,"1976-08-07",21,21,"Last Child","Aerosmith",21,15,"Rock"
"7",16,"1984-07-28",37,39,"She Bop","Cyndi Lauper",3,18,"Rock"
"8",18,"1981-01-31",56,55,"Kiss On My List","Daryl Hall & John Oates",1,23,"Rock"
"9",19,"1976-10-09",88,87,"Here's Some Love","Tanya Tucker",82,5,"Country"
"10",21,"1980-08-02",91,90,"Just Can't Wait","The J. Geils Band",78,5,"Rock"
"11",22,"1971-11-20",18,19,"Never My Love","The 5th Dimension",12,11,"Pop"
"12",23,"1985-12-07",88,87,"And She Was","Talking Heads",54,20,"Rock"
"13",25,"1971-07-17",38,36,"Chicago","Graham Nash",35,11,"Rock"
"14",26,"1966-05-07",88,86,"Sweet Talkin' Guy","The Chiffons",10,10,"Rock"
"15",27,"1979-07-07",41,41,"Rock 'N' Roll Fantasy","Bad Company",13,20,"Rock"
"16",29,"1973-11-10",44,46,"The Joker","Steve Miller Band",1,20,"Rock"
"17",30,"1970-12-05",18,18,"Indiana Wants Me","R. Dean Taylor",5,15,"Rock"
"18",33,"1978-02-11",99,100,"Crazy On You","Heart",35,19,"Rock"
"19",34,"1978-03-04",30,29,"If I Can't Have You","Yvonne Elliman",1,22,"R&B/Soul"
"20",35,"1971-05-01",67,65,"Freedom","Jimi Hendrix",59,8,"Rock"
"21",37,"1968-04-13",67,65,"Foggy Mountain Breakdown","Flatt & Scruggs",55,12,"Country"
"22",39,"1974-09-14",17,17,"It's Only Rock 'N Roll (But I Like It)","The Rolling Stones",16,10,"Rock"
"23",40,"1990-06-09",30,28,"The Power","Snap",2,22,"R&B/Soul"
"24",41,"1971-11-06",28,27,"Absolutely Right","Five Man Electrical Band",26,8,"Rock"
"25",43,"1989-02-25",50,48,"Two Hearts","Phil Collins",1,18,"Pop"
"26",44,"1985-04-06",25,24,"Some Like It Hot","The Power Station",6,18,"Rock"
"27",46,"1972-07-01",12,12,"I'll Take You There","The Staple Singers",1,15,"R&B/Soul"
"28",49,"1964-08-08",36,36,"People","Barbra Streisand",5,19,"Others"
"29",50,"1964-07-11",23,24,"Love Me Do","The Beatles",1,14,"Rock"
"30",51,"1980-03-08",66,66,"Carrie","Cliff Richard",34,11,"Pop"
"31",53,"1973-06-30",80,81,"Over The Hills And Far Away","Led Zeppelin",51,8,"Rock"
"32",54,"1964-09-05",71,73,"Last Kiss","J. Frank Wilson & The Cavaliers",2,20,"R&B/Soul"
"33",55,"1987-03-07",56,56,"Smoking Gun","The Robert Cray Band",22,14,"Rock"
"34",56,"1965-06-19",72,74,"I Love You So","Bobbi Martin",70,7,"R&B/Soul"
"35",59,"1969-10-11",33,33,"Is That All There Is","Peggy Lee",11,10,"Pop"
"36",61,"1968-11-16",95,96,"I Put A Spell On You","Creedence Clearwater Revival",58,9,"R&B/Soul"
"37",62,"1985-09-28",90,89,"Hurts To Be In Love","Gino Vannelli",57,12,"Pop"
"38",64,"1967-08-26",54,53,"Cry Softly Lonely One","Roy Orbison",52,6,"Rock"
"39",66,"1988-06-18",57,58,"Do You Love Me","The Contours",3,34,"Rock"
"40",67,"1962-06-16",99,97,"Bongo Stomp","Little Joey & The Flips",35,8,"Rock"
"41",68,"1985-08-17",98,99,"Black Cars","Gino Vannelli",42,16,"Rock"
"42",70,"1969-11-15",12,12,"Hot Fun In The Summertime","Sly & The Family Stone",2,16,"R&B/Soul"
"43",71,"1978-09-30",43,43,"Paradise By The Dashboard Light","Meat Loaf",39,10,"Rock"
"44",72,"1969-09-06",5,5,"Get Together","The Youngbloods",5,25,"Rock"
"45",73,"1976-06-12",49,49,"Crazy On You","Heart",35,19,"Rock"
"46",74,"1965-03-27",14,12,"Nowhere To Run","Martha & The Vandellas",8,11,"R&B/Soul"
"47",75,"1977-01-29",56,54,"Drivin' Wheel","Foghat",34,10,"R&B/Soul"
"48",77,"1978-08-19",27,28,"Reminiscing","Little River Band",3,20,"Rock"
"49",78,"1988-12-24",46,46,"Dial My Heart","The Boys",13,19,"Pop"
"50",79,"1967-07-29",56,58,"Cold Sweat - Part 1","James Brown",7,12,"Hip-hop"
